Sample,Acetate,Butyrate,Formate,Isobutyrate,Lactate,Propionate,Cellobiose,Fructose,Glucose,Xylose,BacterialStrain,Replicate,Timepoint
EH1_T96,23.12477617,3.432283126,0.873422933,0,0,2.18827994,1.437425267,0,0.360152291,0.759792695,Anaerobutyricum soehngenii,EH1,T96
EH1_T168,26.48264925,3.759024084,1.067791946,0,0,2.436835003,1.947892842,0,0,0.606781517,Anaerobutyricum soehngenii,EH1,T168
EH2_T0,24.24028327,2.59579574,0.493669555,0,0.982740226,2.341087073,2.040896697,0,1.140805864,0.0487785,Anaerobutyricum soehngenii,EH2,T0
EH2_T24,27.58351395,2.230833457,0.548182187,0,1.036585084,2.490667464,2.41636822,0,0,0,Anaerobutyricum soehngenii,EH2,T24
EH2_T48,22.3938587,2.717029766,0,0,0,2.14106004,1.759752307,0,0.212695359,0.362660466,Anaerobutyricum soehngenii,EH2,T48
EH2_T72,25.23769836,3.287975508,0.400794661,0,0,2.446344455,2.239912258,0,0,0,Anaerobutyricum soehngenii,EH2,T72
EH2_T96,25.97723299,3.500703456,0.910679549,0,0,2.487441868,2.265666153,0,0,0.806970641,Anaerobutyricum soehngenii,EH2,T96
EH2_T168,26.53081246,3.752261852,0.983014492,0,0,2.622579037,2.338965633,0,0,0.721681328,Anaerobutyricum soehngenii,EH2,T168
ES1_T0,31.31125762,0,1.442781339,0,1.476878971,2.781362439,3.012627462,0.395806035,2.921313606,0,Eubacterium siraeum,ES1,T0
ES1_T24,28.26291245,0,1.110018503,0,1.198917392,2.503760561,0.933564299,0,2.331803224,0,Eubacterium siraeum,ES1,T24
ES1_T48,25.86546352,0,0.943492039,0,1.049745186,2.096802583,0.250886455,0,1.019493567,0.140308712,Eubacterium siraeum,ES1,T48
ES1_T72,40.55883217,0,1.213468574,0,1.424880443,2.978521559,0,0.122421617,1.332333889,0,Eubacterium siraeum,ES1,T72
ES1_T96,32.76107545,0,1.061277625,0,1.186479492,2.497871607,0.278214319,0,1.897548489,0.189269065,Eubacterium siraeum,ES1,T96
ES1_T168,30.67737881,0,0.941005724,0,1.065548588,2.209464839,0,0,1.074606124,0.266848378,Eubacterium siraeum,ES1,T168
ES2_T0,29.3812483,0,0.966350854,0,1.124718919,2.459788364,2.459953465,0,0,0.169730333,Eubacterium siraeum,ES2,T0
ES2_T24,29.46154038,0,1.032560627,0,1.200746156,2.537898351,0.723143325,0,1.600296145,0,Eubacterium siraeum,ES2,T24
ES2_T48,40.56038508,0,1.086827951,0,1.392756627,3.020521181,0,0,1.734398148,0,Eubacterium siraeum,ES2,T48
ES2_T72,34.97004317,0,0.968565761,0,1.196463925,2.587205336,0,0.188946916,1.110833732,0,Eubacterium siraeum,ES2,T72
ES2_T96,30.62229291,0,0.971219366,0,1.109547283,2.401381223,0.250383251,0,0.697333819,0.195582555,Eubacterium siraeum,ES2,T96
ES2_T168,33.25424594,0,0,0,1.113493566,2.450753025,0.32336304,0,1.914832506,0.32216712,Eubacterium siraeum,ES2,T168
FP1_T0,27.0050571,0,0,0,1.12912937,2.296538697,2.292671001,0,1.335897847,0.372228743,Faecalibacterium prausnitzii,FP1,T0
FP1_T24,27.1062,4.421295271,4.27629031,0,1.225172056,2.575005996,1.864074302,0,1.103772557,0,Faecalibacterium prausnitzii,FP1,T24
FP1_T48,33.30707553,9.614533097,8.032082252,0,1.458043169,3.206201314,0.555497524,0,0,0.878016269,Faecalibacterium prausnitzii,FP1,T48
FP1_T72,24.86263622,7.831752669,6.623059771,0,1.626095229,2.404266584,0.582310581,0,0.800357822,0.248505637,Faecalibacterium prausnitzii,FP1,T72
FP1_T96,26.14698969,8.008813716,6.341494612,0,2.225255143,2.557127975,0.56873437,0,0.979541851,1.202669043,Faecalibacterium prausnitzii,FP1,T96
FP1_T168,29.62374239,9.052923397,6.27511589,0,2.908055163,2.778776792,0.621376923,3.002147685,0.728486807,0,Faecalibacterium prausnitzii,FP1,T168
FP2_T0,25.46351799,0,1.260503152,0,1.262501677,2.354624732,2.132710715,0,2.106544762,0.534156213,Faecalibacterium prausnitzii,FP2,T0
FP2_T24,27.0407274,5.582035019,4.781210313,0,1.13908403,2.55332591,1.103080825,0,0.570200681,0.815371584,Faecalibacterium prausnitzii,FP2,T24
FP2_T48,34.00412386,9.743005428,7.389054449,0,1.620808353,3.278945291,0.706604049,0,0,0.406853557,Faecalibacterium prausnitzii,FP2,T48
FP2_T72,29.63996996,9.113750291,7.01508608,0,1.775216338,2.805407524,0.350227773,0,0,0.634956449,Faecalibacterium prausnitzii,FP2,T72
FP2_T96,25.27177404,7.753022485,5.394365295,0,1.952937441,2.446127476,0.540835892,0,0.876070608,0.910842591,Faecalibacterium prausnitzii,FP2,T96
FP2_T168,30.38602816,8.583012006,5.620929952,0,2.675262055,2.612879263,0.580912686,3.637106161,0.509571194,0,Faecalibacterium prausnitzii,FP2,T168
LF1_T0,26.87848475,0,0.841812135,0,1.071989753,2.714963314,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF1,T0
LF1_T24,27.82117503,3.207909252,0.749831273,0,1.133840808,2.756314425,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF1,T24
LF1_T48,27.14722399,4.331430485,0.663333726,0,1.124595886,2.798412514,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF1,T48
LF2_T72,27.69526745,4.848817267,0.662171208,0,1.17985698,2.845192992,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF2,T72
LF2_T96,26.5926356,5.206450422,0.699661421,0,1.118995374,2.803095341,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF2,T96
LF2_T168,27.30097292,5.610578465,0.636769393,0,1.067157893,2.752945058,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF2,T168
LF2_T0,26.95910474,0,0.967103253,0,1.194733274,2.661020118,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF2,T0
LF2_T24,27.9332936,3.243759661,0.694431286,0,1.106179306,2.744515355,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF2,T24
LF2_T48,27.1140622,4.340003889,0.630257039,0,1.152338193,2.765998688,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF2,T48
LF1_T72,26.88904959,4.854782578,0.628472139,0,1.173465336,2.803958071,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF1,T72
LF1_T96,26.60213849,5.154388182,0.583903938,0,1.015734146,2.861968798,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF1,T96
LF1_T168,27.17789374,5.813838503,0.490015744,0,1.066928165,2.81184073,0,0,0,0,Lachnospiraceae bacterium 7_1_58FAA,LF1,T168
RI1_T0,26.00145758,1.2735119,0.590783514,0,1.074535079,2.312252555,1.583069813,0,0.950876279,0.588578296,Roseburia intestinalis,RI1,T0
RI1_T24,20.44103439,9.848154703,1.260702428,0,1.474992729,2.512672894,0,0,0.543605439,0.051964005,Roseburia intestinalis,RI1,T24
RI1_T48,15.00979499,14.31325603,1.176720602,0,1.496319507,3.071293049,0,0,0.054092308,0.128954303,Roseburia intestinalis,RI1,T48
RI1_T72,15.60911239,17.47532891,1.2581297,0,1.555037006,3.575756661,0,0,0.074000753,0.191305197,Roseburia intestinalis,RI1,T72
RI1_T96,16.48849864,17.546646,1.353721484,0,1.657089322,3.979457542,0,0,0.075531935,0.247589686,Roseburia intestinalis,RI1,T96
RI1_T168,16.54134694,21.98807672,1.535360019,0,1.758833042,4.448792764,0,0,0.087711698,0.2397496,Roseburia intestinalis,RI1,T168
RI2_T0,22.17492306,1.095049879,0.454904457,0,0.976606793,1.869648949,0,0,1.107325094,0.229574167,Roseburia intestinalis,RI2,T0
RI2_T24,20.43801879,12.40973539,1.87230469,0,1.737730502,2.824713343,0.011647028,0,0.334843512,0.995399154,Roseburia intestinalis,RI2,T24
RI2_T48,15.76664614,20.46861324,2.044541723,0,1.813656924,3.612009864,0,0,0.376407802,0.12610479,Roseburia intestinalis,RI2,T48
RI2_T72,15.83121892,22.27161733,2.147181709,0,1.881238316,4.140589682,0,0,0.036476283,0.245388987,Roseburia intestinalis,RI2,T72
RI2_T96,12.23243877,19.74711675,1.756174917,0,1.464471463,3.680079212,0,0,0.101113091,0.232125715,Roseburia intestinalis,RI2,T96
RI2_T168,13.37827263,25.65567557,2.319822828,0,1.885169558,4.489529706,0,0,0.105950462,0.225751569,Roseburia intestinalis,RI2,T168
SV1_T0,29.30654117,1.33540012,0.61769214,0,1.28969002,2.72217182,1.864564095,0,0.922833266,0.03122477,Subdoligranulum variabile,SV1,T0
SV1_T24,23.16533934,1.133522924,0.806877128,0,1.694426577,2.12335103,1.302045359,0,0.601796948,0.038332985,Subdoligranulum variabile,SV1,T24
SV1_T48,24.78034293,1.701426509,0.415782023,0,1.488199699,2.34937241,1.190119028,0,0,0.081404822,Subdoligranulum variabile,SV1,T48
SV1_T72,23.57034676,1.954557669,1.114758718,0,1.381998543,2.129929736,1.10325299,0,0,0.036921501,Subdoligranulum variabile,SV1,T72
SV1_T96,26.97927343,2.509156616,1.017032093,0,1.72884077,2.437780251,1.651920643,0,0.597715385,0.631217407,Subdoligranulum variabile,SV1,T96
SV1_T168,31.07347247,3.484861399,0.772530209,0,2.683838445,2.893248454,2.133467305,0,1.628900384,0.158977919,Subdoligranulum variabile,SV1,T168
SV2_T0,23.09376385,1.016808621,0.583441855,0,0.947836768,2.004451256,1.626244399,0,0,0.559483429,Subdoligranulum variabile,SV2,T0
SV2_T24,22.73676439,1.210264846,0.829259397,0,1.817734673,2.069826244,1.984234275,0,0.724844036,0.039269846,Subdoligranulum variabile,SV3,T24
SV2_T48,27.58766624,2.041336779,0.719401316,0,2.124838327,2.463872857,1.969463482,0,0,0.111496173,Subdoligranulum variabile,SV4,T48
SV2_T72,28.54233657,2.558294582,0.940691159,0,2.437599362,2.561342284,2.482490954,0,0.356939077,0,Subdoligranulum variabile,SV5,T72
SV2_T96,18.0657015,1.816751496,1.461285696,0,1.944935867,1.883209683,1.402020207,0,0.722999707,0.063589088,Subdoligranulum variabile,SV6,T96
SV2_T168,26.14745506,3.709682807,1.471827543,0,2.546384419,2.460354947,1.762017886,0,0,0.056793763,Subdoligranulum variabile,SV7,T168
